actorid;name;date_of_birth;birth_city;birth_country;height_inches;biography;gender;ethnicity;networth
1166;Andre B. Blake;1990-11-21;;USA;74;Andre B. Blake is known for his work on Philadelphia (1993), Spider-Man 3 (2007) and The Manchurian Candidate (2004).;Male;Jamaican-American;19000000
438;Andre Bernard;1934-11-22;London;United Kingdom;;;Male;White;
2066;Andre Braugher;1962-07-01;Chicago;USA;72;Andre Braugher was born on July 1, 1962 in Chicago, Illinois, USA as Andre Keith Braugher. He is an actor and producer, known for Homicide: Life on the Street (1993), Frequency (2000) and The Mist (2007). He has been married to Ami Brabson since December 28, 1991. They have three children.;Male;African-American;8000000
1153;Andrea Martin;1947-01-15;Portland;USA;64;Andrea Martin was born on January 15, 1947 in Portland, Maine, USA as Andrea Louise Martin. She is an actress and writer, known for My Big Fat Greek Wedding (2002), My Big Fat Greek Wedding 2 (2016) and Hedwig and the Angry Inch (2001).;Female;Armenian-American;1000000
664;Andreas Katsulas;1946-05-18;St. Louis;USA;72;Born in St. Louis, Missouri, Andreas from a working-class Greek-American family. Attracted from early childhood to being on stage when at 4 his mother took him to see a community theater performance, he took theatre as an extra-curricular activity in high school. He then majored in it at St. Louis University, where he worked his way through school...;Male;Greek American;
564;Andrew Bryniarski;1969-02-13;Philadelphia;USA;77;"Andrew Bryniarski was born on February 13, 1969 in Philadelphia, Pennsylvania. The 6 5"" is a former bodybuilder. He came to Hollywood for a short summer vacation to visit a friend, was spotted by a talent scout, who set up a screen test for Joel Silver, and all of a sudden he was acting alongside Bruce Willis and James Coburn in Hudson Hawk (1991)...";Male;White;300000
1375;Andrew Chavez;;;;;Andrew Chavez is an actor, known for Traffic (2000).;Male;;
259;Andrew Divoff;1955-07-02;San Tome;Venezuela;73;Andrew Daniel Divoff is a Russian film, television actor and stuntman, best known for playing the evil Djinn in the first two Wishmaster films and the villains Cherry Ganz in Another 48 Hrs., Ernesto Mendoza in A Low Down Dirty Shame, Boris Bazylev in Air Force One, Ivan Sarnoff in CSI: Miami and Mikhail Bakunin in Lost. He was born on July 2, ...;Male;White;
2063;Andrew Friedman;1976-11-13;Houston;USA;68;Andrew Friedman is an actor and writer, known for Its Always Sunny in Philadelphia (2005), GLOW (2017) and Live Free or Die Hard (2007). He has been married to Cara DiPaolo since 2003.;Male;White;10000000
2447;Andrew Garfield;1983-08-20;Los Angeles;USA;61;Andrew Russell Garfield was born in Los Angeles, California, to a British mother, Lynn (Hillman), and father, Richard Garfield. When he was three, he moved to Surrey, U.K., with his parents and older brother. He is of English and Polish Jewish heritage. Andrew was raised in a middle class family, and attended a private school, the City of London ...;Male;White;13000000
2264;Andrew Havill;1965-0-0;;UK;74;Andrew Havill was born in 1965 in the UK. He is an actor, known for The Kings Speech (2010), Les Miserables (2012) and Cloud Atlas (2012).;Male;English;
833;Andrew Kevin Walker;1964-08-14;Altoona;USA;;Andrew Kevin Walker was born on August 14, 1964 in Altoona, Pennsylvania, USA. He is a writer and actor, known for Se7en (1995), Sleepy Hollow (1999) and 8MM (1999).;Male;American;2000000
885;Andrew Weir;1980-12-26;Ayr;UK;;"Away from the stage and silver screen this versatile actor is a keen follower of Ayr Utd FC and the Scotland National Team. He is also one of the founders of the highly successful company ""3rd Degrees Burns"" His work in this field has been appreciated by audience worldwide and various festivals and events. In all Andrew Weir is a true champion of ...";Male;American;
1741;Andy Arness;1959-12-31;Everett;USA;75;Andy Arness was born on December 31, 1959 in Everett, Washington, USA as Andrew Aaron Arness. He is known for his work on The Matrix Reloaded (2003), Chance (2016) and Valley of the Hearts Delight (2006). He has been married to Doreen Brown since 2000. They have one child. He was previously married to Teddy Baxter and Debbie Merrill.;Male;White;
277;Andy Garcia;1956-04-12;Havana;Cuba;69;One of Hollywoods most private and guarded leading men, Andy Garcia has created iconic characters while at the same time staying true to his acting roots and personal projects. Garcia was born Andr�s Arturo Garc�a Men�ndez on April 12, 1956, in Havana, Cuba, to Amelie Men�ndez, a teacher of English, and Ren� Garc�a N��ez, an attorney and avocado ...;Male;Cuban;20000000
1840;Andy Pellick;;Pittsburgh;USA;;Andy Pellick is an actor, known for The Polar Express (2004) and Winters Tale (2014).;Male;;
1501;Andy Richter;1966-10-28;Grand Rapids;USA;73;Andy Richter was born in Grand Rapids, Michigan, the second of four children of Glenda (Palmer), a kitchen cabinet designer, and Laurence R. Richter, who taught Russian at Indiana University. He was raised in Yorkville, Illinois. His parents divorced when he was four. Richter attended the University of Illinois Urbana/Champaign and then moved to ...;Male;White;10000000
1007;Andy Romano;1941-06-15;USA;USA;70;Andy Romano was born on June 15, 1941 in the USA. He is an actor, known for Under Siege (1992), Major League (1989) and Eraser (1996).;Male;Greek;
2414;Andy Samberg;1978-08-18;Berkeley;USA;69;Andy Samberg was born in Berkeley, California, to Marjorie (Marrow), a teacher, and Joe Samberg, a photographer. With Jorma Taccone and Akiva Schaffer, Samberg is one of three Los Angeles, California-based writer-performer-filmmakers--all childhood friends--dubbed The Lonely Island, whose short films were showcased on the popular untelevised ...;Male;White;20000000
1940;Andy Serkis;1964-04-20;Ruislip;UK;68;English film actor, director and author Andy Serkis is known for his performance capture roles comprising motion capture acting, animation and voice work for such computer-generated characters as Gollum in The Lord of the Rings film trilogy (2001-2003) and The Hobbit: An Unexpected Journey (2012), the eponymous King Kong in the 2005 film, Caesar ...;Male;White;18000000
187;Angela Goethals;1977-05-20;New York City;USA;64;Angela Goethals was born on May 20, 1977 in New York City, New York, USA as Angela Bethany Goethals. She is an actress, known for Home Alone (1990), Jerry Maguire (1996) and Spanglish (2004). She has been married to Russell Soder since 2005. They have one child.;Female;White;
338;Angela Lansbury;1925-10-16;Regents Park;UK;68;The daughter of an actress and the granddaughter of a high-ranking politician, Angela Brigid Lansbury studied acting from her youth, departing for the United States in 1940 during the Battle of Britain. She was contracted by MGM while still a teenager and nominated for an Academy Award for her first film, Gaslight (1944). Two pictures later, she ...;Female;White;70000000
574;Angela Paton;1930-01-11;Brooklyn;USA;;"Paton was described as a ""natural comic"" and one of the ""legends of the local stage"" of San Francisco. She is a veteran of the American Conservatory Theater (A.C.T.), and also one of A.C.T.s leading actresses in its first few seasons. After leaving A.C.T. in the early 1970s, Paton and her husband founded and ran the Berkeley Stage Company for a ...";Female;American;
1538;Angelina Jolie;1975-06-04;Los Angeles;USA;66;"Angelina Jolie is an Academy Award-winning actress who rose to fame after her role in Girl, Interrupted (1999), playing the title role in the ""Lara Croft"" blockbuster movies, as well as Mr. Mrs. Smith (2005), Wanted (2008), Salt (2010) and Maleficent (2014). Off-screen, Jolie has become prominently involved in international charity projects,...";Female;White;120000000
1905;Angie Harmon;1972-08-10;Dallas;USA;69;Angie Harmon was born on August 10, 1972 in Dallas, Texas, USA as Angela Michelle Harmon. She is an actress and director, known for Agent Cody Banks (2003), Rizzoli Isles (2010) and Law Order (1990). She was previously married to Jason Sehorn.;Female;;30000000
1663;Angus T. Jones;1993-10-08;Austin;USA;67;Angus T. Jones was born on October 8, 1993 in Austin, Texas, USA as Angus Turner Jones. He is an actor, known for Two and a Half Men (2003), The Rookie (2002) and Bringing Down the House (2003).;Male;;20000000
1969;Anika Noni Rose;1972-09-06;Bloomfield;USA;62;Tony Award winner Anika Noni Rose recently finished filming the lead role of the pilot episode Beast Mode (TBS / Macro), which is based on life of legendary boxing trainer Ann Wolfe. Anika is also serving as Co-Executive Producer. In 2018, Anika starred in the title role of Carmen Jones in John Doyles production at the Classic Stage Company in ...;Female;;3000000
2100;Anil Kapoor;1956-12-24;Chembur;India;67;Living in a Chawl in Tilak Nagar, Punjabi-speaking Anil was born in 1959 to Surinder and Nirmal aka Suchitra Kapoor. He has an elder brother, Boney, a sister, Reena, and a younger brother, Sanjay. His dad used to be Shammi Kapoors Secretary. A loner, without many friends, he studied in the nearby O.L.P.S. (Our Lady of Perpetual Succor) School, and...;Male;;12000000
366;Anjelica Huston;1951-07-08;Santa Monica;USA;61;"Anjelica Huston was born on July 8, 1951 in Santa Monica, California, to prima ballerina Enrica ""Ricki"" (Soma) and director and actor John Huston. Her mother, who was from New York, was of Italian descent, and her father had English, Scottish, and Scots-Irish ancestry. Huston spent most of her childhood overseas, in Ireland and England, and in ...";Female;White;50000000
527;Ann Cusack;1961-05-22;Brooklyn;USA;68;Ann Cusack was born on May 22, 1961 in Brooklyn, New York, USA. She is an actress, known for Grosse Pointe Blank (1997), Tank Girl (1995) and Accepted (2006).;Female;White;
808;Ann Morgan Guilbert;1928-10-16;Minneapolis;USA;61;Ann Morgan Guilbert was best-known to television audiences as the Rob and Laura Petries neighbor Millie Helper on The Dick Van Dyke Show (1961) and as Fran Feins feisty Grandma Yetta on The Nanny (1993). She gave memorable performances in film and television and on stage throughout her distinguished career, and recently starred in Nicole ...;Female;;
630;Ann-Margret;1941-04-28;Valsjabyn;Sweden;63;Actress and singer Ann-Margret is one of the most famous sex symbols and actresses of the 1960s and beyond. She continued her career through the following decades and into the 21st century. Ann-Margret was born Ann-Margret Olsson in Valsj�byn, J�mtland County, Sweden, to Anna Regina (Aronsson) and Carl Gustav Olsson, who worked for an electrical ...;Female;White;
2335;Anna Camp;1982-09-27;Aiken;USA;65;Anna Camp grew up in South Carolina and is the daughter of Dee and Thomas Camp. Anna graduated from the University of North Carolina School of the Arts in 2004. She then moved to New York City and has appeared in films and television shows since 2007. From 2009 to 2014, she starred in the series True Blood (2008) as Sarah Newlin. She had a main ...;Female;;4000000
1352;Anna Faris;1976-11-29;Baltimore;USA;64;Anna Kay Faris was born on November 29, 1976 in Baltimore, Maryland, to Karen (Bathurst), a special education teacher, and Jack Faris, a sociologist. She was raised in Edmonds, Washington. Her ancestry includes English, German, Scottish, French, Dutch, and Welsh. Anna started acting very young but not professionally. She loved watching theatrical ...;Female;White;30000000
2207;Anna Kendrick;1985-08-09;Portland;USA;62;"Anna Kendrick was born in Portland, Maine, to Janice (Cooke), an accountant, and William Kendrick, a teacher. She has an older brother, Michael Cooke Kendrick, who has also acted. She is of English, Irish, and Scottish descent. For her role as ""Dinah"" in ""High Society"" on Broadway, Anna Kendrick was nominated for a Tony Award (second youngest ever)...";Female;White;20000000
445;Anna Levine;1953-09-18;New York City;USA;67;Anna Levine was born on September 18, 1953 in New York City, New York, USA as Anna Kluger Levine. She is an actress, known for True Romance (1993), Unforgiven (1992) and The Crow (1994).;Female;White;
1406;Anna Maria Horsford;1948-03-06;New York City;USA;68;Anna Maria Horsford was born and raised in Harlem, New York. Her parents immigrated to the United States from the island nation Antigua Barbuda, in the West Indies (then a British colony), during the 1940s. Anna grew up not really feeling American but not West Indian either, just somewhere in between. However, she vacationed in the Caribbean, ...;Female;African American;500000
1401;Anna Paquin;1982-07-24;Winnipeg;Canada;64;Anna Paquin is the first millennial to have received an Academy Award nomination for acting, and the first to win. She was born in Winnipeg, Manitoba, Canada, in 1982, to Mary (Brophy), an English teacher from Wellington, New Zealand, and Brian Paquin, a Canadian phys-ed teacher. Anna moved to her mothers native country when she was four years old...;Female;White;14000000
1935;Anna Popplewell;1988-12-16;London;UK;63;"Anna Popplewell was born on December 16, 1988 in London, England as Anna Katherine Popplewell. She is an actress, known for The Chronicles of Narnia: The Lion, the Witch and the Wardrobe (2005), The Chronicles of Narnia: Prince Caspian (2008) and Halo 4: Forward Unto Dawn (2012). She is also known for her role as ""Lola"" on the popular CW show, ...";Female;White;4000000
1302;Annabeth Gish;1971-03-13;Albuquerque;USA;68;"A versatile actress, Annabeth Gish weathered the transition from child actor to adult, with a variety of dramatic and comedic roles on film and television. Anne Elizabeth Gish was born on March 13, 1971 in Albuquerque, New Mexico and moved with her family to Cedar Falls, at the age of two. Her parents were both teachers; her father, Robert Gish, ...";Female;;4000000
546;Anne Archer;1947-08-24;Los Angeles;USA;66;"Anne Archer was nominated for an Academy Award�, a Golden Globe and the British (BAFTA) Academy Award for her role as Michael Douglas sympathetic, tortured wife, ""Beth Gallagher"", in Adrian Lynes 1987 thriller Fatal Attraction (1987). Archer is also well-known for her poignant Golden Globe-winning performance in the ensemble cast of Robert Altman...";Female;White;20000000
27;Anne Bobby;1967-12-12;Paterson;USA;65;American actress, voice artist, playwright, and author, best known for her role as Lori Winston in Clive Barkers Nightbreed.;Female;White;5000000
1048;Anne Haney;1934-03-04;Memphis;USA;68;"Anne Haney held prominent roles acting on stage, on the screen, and on TV. All these achievements came in her mid 40s, after she had raised a daughter and buried a husband. It wasnt until after she had packed her daughter off to college and ""the maid quit"", as she said, that she decided to try her hand at acting. She was born in Memphis, Tennessee...";Female;White;
1471;Anne Hathaway;1982-11-12;Brooklyn;USA;68;Anne Jacqueline Hathaway was born in Brooklyn, New York, to Kate McCauley Hathaway, an actress, and Gerald T. Hathaway, a lawyer, both originally from Philadelphia. She is of mostly Irish descent, along with English, German, and French. Her first major role came in the short-lived television series Get Real (1999). She gained widespread ...;Female;White;60000000
1029;Anne Heche;1969-05-25;Aurora;USA;65;Anne Heche was born on May 25, 1969 in Aurora, Ohio, USA as Anne Celeste Heche. She is an actress and writer, known for Six Days Seven Nights (1998), Donnie Brasco (1997) and Wag the Dog (1997). She was previously married to Coleman Coley Laffoon.;Female;;8000000
1805;Anne Jacques;;New York City;USA;;Anne Jacques is an actress, known for Oceans Twelve (2004), Rockabye (2017) and Prison Break (2005).;Female;;
1251;Annette Bening;1958-05-29;Topeka;USA;68;Annette Carol Bening was born on May 29, 1958 in Topeka, Kansas, the youngest of four children of Shirley (Ashley), a soloist and church singer, and Arnett Grant Bening, an insurance salesman. She is of German and British Isles ancestry. Her family moved to California when she was young, and she grew up there. She graduated from San Francisco ...;Female;;70000000
119;Annie Potts;1952-10-28;Nashville;USA;63;Annie Potts is an American film, television, and stage actress. She is known for her roles in popular 1980s films such as Ghostbusters (1984) and Pretty in Pink (1986). She made her debut on the big screen in 1978 in the Metro-Goldwyn-Mayer comedy film Corvette Summer, with Mark Hamill, for which she was nominated for an Golden Globe. In 2017 she ...;Female;White;8000000
2568;Ansel Elgort;1994-03-14;New York City;USA;74;Ansel Elgort is an American actor, known for playing Augustus Waters in the romance The Fault in Our Stars (2014) and the title character in the action thriller Baby Driver (2017). He was born in New York City to photographer Arthur Elgort and opera director Grethe Holby. His father is of Russian-Jewish heritage, while his mother has Norwegian and...;Male;White;12000000
1356;Anthony Anderson;1970-08-15;Los Angeles;USA;61;Anthony Anderson was born on August 15, 1970 in Los Angeles, California, USA. He is an actor and producer, known for The Departed (2006), Kangaroo Jack (2003) and Transformers (2007). He has been married to Alvina Renee Stewart since September 11, 1999. They have two children.;Male;African-American;25000000
1911;Anthony Daniels;1946-02-21;Salisbury;UK;69;Initially not a science fiction fan, theatre actor Anthony Daniels was persuaded by his agent to meet George Lucas for the casting of C-3PO in Star Wars: Episode IV - A New Hope (1977). He went on to perform the character, both his voice and body in the suit, for all the episodic Star Wars films produced. Additionally, he performed the voice of ...;Male;;8000000
897;Anthony DeMasters;1994-10-12;San Antonio;USA;67;Anthony DeMasters is an actor, known for Waterworld (1995).;Male;White;
738;Anthony Edwards;1962-07-19;Santa Barbara;USA;74;Anthony Edwards was born in Santa Barbara, California, on July 19, 1962, to a well-blended family. He is the youngest of five children, and the son of Erika Kem (Weber), a landscape painter and artist, and Peter Edwards, an architect. His mother was of German descent, and his father was of English, Irish, Scottish, and Spanish-Mexican ancestry. ...;Male;;40000000
316;Anthony Heald;1944-08-25;New Rochelle;USA;67;Anthony Heald was born Philip Anthony Mair Heald on August 25, 1944, in New Rochelle, New York. He graduated from Massapequa High School on Long Island, New York, in 1962, and from Michigan State University in 1971. He currently resides in Ashland, Oregon, where he was a member of the Oregon Shakespeare Festival acting company for the 1997, 98 and...;Male;;2000000
538;Anthony Hopkins;1937-12-31;Margam;Wales;69;Anthony Hopkins was born on December 31, 1937, in Margam, Wales, to Muriel Anne (Yeats) and Richard Arthur Hopkins, a baker. His parents were both of half Welsh and half English descent. Influenced by Richard Burton, he decided to study at College of Music and Drama and graduated in 1957. In 1965, he moved to London and joined the National Theatre...;Male;White;160000000
737;Anthony LaPaglia;1959-01-31;Adelaide;Australia;61;Anthony LaPaglia was born on January 31, 1959 in Adelaide, South Australia, Australia. He is an actor and producer, known for Without a Trace (2002), Empire Records (1995) and Lantana (2001). He has been married to Alexandra Henkel since April 28, 2018. He was previously married to Gia Carides.;Male;;6000000
2590;Anthony Mackie;1978-09-23;New Orleans;USA;70;Anthony Mackie is an American actor. He was born in New Orleans, Louisiana, to Martha (Gordon) and Willie Mackie, Sr., who owned a business, Mackie Roofing. Anthony has been featured in feature films, television series and Broadway and Off-Broadway plays, including Ma Raineys Black Bottom, Drowning Crow, McReele, A Soldiers Play, and Talk, by ...;Male;;8000000
209;Anthony Michael Hall;1968-04-14;West Roxbury;USA;72;Anthony Michael Hall was born in West Roxbury, Massachusetts. His parents are Mercedes Hall, an actress-blues and jazz singer, and Larry Hall, who owned an auto body shop. His stepfather is a show-business manager. His sister, Mary Christian, is also a performer. He has Irish and Italian ancestry. Halls given name was Michael Anthony Thomas ...;Male;White;4000000
396;Anthony Ramirez;1991-11-1;New York City;USA;;Anthony Ramirez is an actor, known for This Is Us (2016), Devils Inside (2012) and CollegeHumor Originals (2006).;Male;;
1490;Anthony Rapp;1971-10-26;Joliet;USA;68;"Anthony Rapp started his career at the age of six, and received his first professional job at the age of nine. His breakout came when he originated the role of ""Mark Cohen"" in Jonathan Larsons production of the Broadway musical ""Rent"". He can be heard on the original cast recording.";Male;White;2000000
2530;Antje Traue;1981-01-18;Mittweida;Germany;65;"With a strong body of work in her native Germany, Antje broke out into the international marketplace in Zack Snyders Superman retelling, ""Man of Steal"" as the villainess, ""Faora"". Other credits include Renny Harlins ""5 Days of August"", Warner Brothers ""The Seventh Son"", Simon Curtiss ""The Woman in Gold"" with Helen Mirren and Ryan Reynolds and ...";Female;White;3000000
2515;Anton Yelchin;1989-03-11;Leningrad;Russia;69;Anton Yelchin was an American actor, known for playing Bobby in Hearts in Atlantis (2001), Chekov in the Star Trek (2009) reboot, Charlie Brewster in the Fright Night (2011) remake, and Jacob in Like Crazy (2011). He was born in Leningrad (now St. Petersburg), Russia, USSR, to a Jewish family. His parents, Irina Korina and Viktor Yelchin, were a ...;Male;;10000000
1464;Antonio Banderas;1960-08-10;Mlaga;Spain;68;"Antonio Banderas, one of Spains most famous faces, was a soccer player until breaking his foot at the age of fourteen; he is now an international film star known for playing Zorro in the eponymous film series. He was born Jos� Antonio Dom�nguez Banderas on August 10, 1960, in M�laga, Andalusia, Spain. His father, Jose Dominguez, was a policeman in...";Male;White;50000000
1143;Antony Sher;1949-06-14;Cape Town;South Africa;66;"Born in 1949, Antony Sher was raised in South Africa before going to London to study at the Webber-Douglas Academy of Dramatic Art between 1969 and 1971. After performing for the theatre group ""Gay Sweatshop"" in ""Thinking Straight"" (1975), ""The Fork"" (1976) and ""Stone"" (1976), Sher joined the Royal Shakespeare Company in 1982. Three years later, ...";Male;;
2094;April Grace;1962-05-12;Lakeland;USA;66;April Grace was born on May 12, 1962 in Lakeland, Florida, USA. She is an actress, known for Magnolia (1999), I Am Legend (2007) and A.I. Artificial Intelligence (2001).;Female;African American;
1225;Arabella Field;1965-02-05;New York City;USA;66;Arabella Field was born on February 5, 1965 in New York City, New York, USA. She is an actress and producer, known for House (2004), American Horror Story (2011) and Seinfeld (1989). She was previously married to Brian Gerber.;Female;White;
1818;Arjay Smith;1983-11-27;Redlands;USA;61;Arjay Smith is an American actor, born in Southern California, who began his career in the summer of 1993 at the age of 9. A chameleon by nature, Arjay Smith continues to embrace new characters from drama to comedy. In 2014 he stunned audiences in his recurring role as Grant McQueen on the 7th and final season of Sons of Anarchy (2008). In (2017) ...;Male;African American;800000
1067;Arliss Howard;1954-10-18;Independence;USA;69;Arliss Howard was born on October 18, 1954 in Independence, Missouri, USA as Leslie Richard Howard. He is an actor and director, known for Full Metal Jacket (1987), The Lost World: Jurassic Park (1997) and The Time Travelers Wife (2009). He has been married to Debra Winger since November 28, 1996. They have one child. He was previously married to...;Male;;16000000
174;Arnold Schwarzenegger;1947-07-30;Thal;Austria;74;With an almost unpronounceable surname and a thick Austrian accent, who would have ever believed that a brash, quick talking bodybuilder from a small European village would become one of Hollywoods biggest stars, marry into the prestigious Kennedy family, amass a fortune via shrewd investments and one day be the Governor of California!? The ...;Male;White;
1313;Arnold Vosloo;1962-06-16;Pretoria;South Africa;73;Arnold Vosloo was born in Pretoria, South Africa, to stage actor parents, Johanna Petronella Vorster and Johannes J. Daniel Vosloo. He is an Afrikaaner (of mostly Dutch, as well as German, Swiss-German, Danish, and French, descent). Vosloo quickly established a fine reputation as an actor in his native South Africa, winning several awards there for...;Male;;4000000
1830;Aron Warner;1961-03-25;;USA;;Aron Warner is a producer and actor, known for Shrek the Third (2007), Shrek 2 (2004) and Shrek (2001).;Male;;8000000
304;Art Evans;1942-03-27;Berkeley;USA;;Art Evans was born on March 27, 1942 in Berkeley, California, USA as Arthur James Evans. He is an actor, known for Die Hard 2 (1990), Fright Night (1985) and Interstate 60: Episodes of the Road (2002). He is married to Babe.;Male;;
790;Art Malik;1952-11-13;Bahawalpur;Pakistan;72;Art Malik was born on November 13, 1952 in Bahawalpur, Pakistan as Athar Ul-Haque Malik. He is an actor and producer, known for The Living Daylights (1987), True Lies (1994) and The Wolfman (2010). He has been married to Gina Rowe since 1980. They have two children.;Male;;
926;Ashley Buccille;1986-01-30;Orange County;USA;;Ashley Buccille was born on January 30, 1986 in Orange County, California, USA as Ashley Elizabeth Buccille. She is an actress, known for Phenomenon (1996), Dusting Cliff 7 (1997) and Baywatch Nights (1995).;Female;White;
2356;Ashley Greene;1987-02-21;Jacksonville;USA;65;"Ashley Michele Greene was born in Jacksonville, Florida to parents Michele (Tatum), an insurance broker, and Joseph Lacy Greene, US Marine who runs a concrete business. A self-confessed tomboy and ""daredevil"", Ashley loved to try to keep up with her older brother Joe, taking on activities such as taekwondo and winning several awards. Ashley says ...";Female;;8000000
1394;Ashley Johnson;1983-08-09;Camarillo;USA;65;"Ashley was born in Camarillo, California on August 9, 1983, to Cliff and Nancy Johnson. When she was 9 days old, her family packed up and moved to Michigan where her father was transferred (Ship captain of an exploration ship). They finally ended up moving to ""The Town That Time Forgot"" called Franklin. She lived there through most of her life, ...";Female;;3000000
1296;Ashley Judd;1968-04-19;Granada Hills;USA;67;American actress and political activist Ashley Judd was born Ashley Tyler Ciminella on April 19, 1968, in Granada Hills, California. She grew up in a family of successful performing artists as the daughter of country music singer Naomi Judd and the sister of Wynonna Judd. While she is best known for an ongoing acting career spanning more than two ...;Female;;18000000
2128;Ashley Lilley;1986-01-29;Rothesay;UK;69;Ashley Lilley was born on January 29, 1986 in Rothesay, Scotland as Ashley-Anne Lilley. She is an actress, known for Mamma Mia! (2008), Letters to Juliet (2010) and M.I.High (2007).;Female;;
1611;Asia Argento;1975-09-20;Rome;Italy;66;Asia Argento was born in Rome, Italy, into a family of actors and filmmakers, both occupations which she has herself pursued. She made her debut when she was only nine years old in Sergio Cittis Sogni e bisogni (1985). In 1988 she had the leading role in Cristina Comencinis first film, Zoo (1988), and was part of the cast of The Church (1989), ...;Female;;1000000
1860;Assaf Cohen;1972-10-31;Mountain View;USA;61;Originally from the San Francisco Bay Area, Assaf Cohen grew up in Palo Alto, lived for a number of years in the Middle East, and attended UC Berkeley where he earned a Bachelors degree in Integrative Biology. Later, he continued his classical training by earning a Master of Fine Arts in Acting from the Mason Gross School of the Arts at Rutgers ...;Male;;
2389;Astrid Berges-Frisbey;1986-05-26;Barcelona;Spain;67;Astrid Berg�s-Frisbey was born the 26th May of 1986 in Barcelona, Spain to a Spanish Father and a French-American Mother of English descent. She is fluent in French, Spanish, and Catalan. Astrid Berg�s-Frisbey made her acting debut in 2007 on French television. In 2008, she made her feature debut in the French film The Sea Wall (2008) and since ...;Female;;
2003;Audrey Tautou;1976-08-09;Beaumont;France;63;Audrey Justine Tautou was born on August 9, 1976 in Beaumont, France, to Evelyne Marie Laure (Nuret), a teacher, and Bernard Tautou, a dental surgeon. Audrey showed an interest for comedy at an early age and started her acting lessons at Cours Florent. In 1998 she won the best young actress award in the ninth Jeune Comedien de Cinema Festival ...;Female;;20000000
579;August Schellenberg;1936-07-25;Montreal;Canada;68;August Schellenberg was born on July 25, 1936 in Montreal, Quebec, Canada as August Werner Schellenberg. He was an actor and director, known for Black Robe (1991), The New World (2005) and Free Willy (1993). He was married to Joan Karasevich. He died on August 15, 2013 in Dallas, Texas, USA.;Male;;
1817;Austin Nichols;1980-04-24;Ann Arbor;USA;75;Austin Nichols was born in Ann Arbor, Michigan, and was raised in Austin, Texas until the age of eighteen, when he moved to Los Angeles to pursue a career in acting. He graduated from the University of Southern California in 2002 with a degree in creative writing. His role in Six Feet Under led to films like The Day After Tomorrow, Wimbledon, and ...;Male;;4000000
1719;Austin Pendleton;1940-03-27;Warren;USA;;Actor Austin Pendleton was born March 27, 1940 in Warren, Ohio to Frances and Thorn Pendleton. He graduated from Yale University. He later became an ensemble member of the Steppenwolf Theater in Chicago, and acted in several of the theaters productions. His first film appearance in Petulia (1968), a minor and uncredited role. Since, he has made ...;Male;;4000000
2106;Ayush Mahesh Khedekar;2000-04-05;Mumbai;India;73;Ayush Mahesh Khedekar is an actor, known for Slumdog Millionaire (2008), Marjaavaan (2019) and Gandhi of the Month (2014).;Male;Indian;
2105;Azharuddin Mohammed Ismail;1998-1-1;Mumbai;India;;Azharuddin Mohammed Ismail was born in 1998 in Mumbai, India. He is an actor, known for Slumdog Millionaire (2008), Super 30 (2019) and The Shopkeeper (2010).;Male;;
2418;Aziz Ansari;1983-02-23;Columbia;USA;66;Aziz Ansari was born in Columbia, South Carolina, to Fatima, a medical office worker, and Shoukath, a gastroenterologist. His family is from Tamil Nadu, India. He graduated from NYU as a business major in 2004. He graduated from the South Carolina Governors School for Math and Science in Hartsville, SC. He previously attended Marlboro Academy, a ...;Male;;
373;Barbra Streisand;1942-04-24;Williamsburg;USA;65;Barbra Streisand is an American singer, actress, director and producer and one of the most successful personalities in show business. She is the only person ever to receive all of the following: Oscar, Tony, Emmy, Grammy, Golden Globe, Cable Ace, National Endowment for the Arts, and Peabody awards, as well as the American Film Institutes Lifetime ...;Female;White;
641;Barnard Hughes;1915-07-16;Bedford Hills;USA;61;"Emmy and Tony Award-winner Barnard Hughes forged a career as one of Americans most successful character actors, equally at home and successful on stage, the silver screen, and television. Most of his success came after middle-age. He made his Broadway debut in 1939 in Mary McCarthys ""Please, Mrs. Garibaldi"", a flop that lasted only four ...";Male;White;
1184;Barry Pepper;1970-04-04;Campbell River;Canada;61;Barry Robert Pepper was born on April 4, 1970, in Campbell River, British Columbia, Canada. He has two older brothers named Alex and Doug Pepper. The Peppers didnt stick around Campbell River for too long. They had been building a ship in their backyard for years. When Barry was five years old, the ship was done and the family set sail. The ship,...;Male;;10000000
1307;Bart Tangredi;1960-06-21;Islip;USA;;Bart Tangredi was born on June 21, 1960 in Islip, New York, USA. He is known for his work on Analyze This (1999), Law Order (1990) and Analyze That (2002).;Male;;
2495;Basher Savage;;;USA;;Basher Savage is an actor, known for Gravity (2013) and Marple (2004).;Male;;
332;BD Wong;1960-10-24;San Francisco;USA;64;"BD Wong was born and raised in San Francisco, California. He made his Broadway debut in ""M. Butterfly."" He is the only actor to be honored with the Tony Award, Drama Desk Award, Outer Critics Circle Award, Clarence Derwent Award, and Theater World Award for the same performance. He starred in the television series All-American Girl (1994), and has...";Male;Asian American;8000000
801;Beatrice Winde;1924-01-05;Chicago;USA;;Beatrice Winde was born on January 5, 1924 in Chicago, Illinois, USA as Beatrice Lucille Williams. She was an actress, known for The Taking of Pelham One Two Three (1974), Lone Star (1996) and Malcolm X (1992). She was married to Raymond Stough. She died on January 3, 2004 in Manhattan, New York City, New York, USA.;Female;;
